,date,open,high,low,close,volume,average,barCount
0,2023-02-17 14:30:00+00:00,152.375,152.57,152.19,152.47,-1.0,-1.0,-1
1,2023-02-17 14:31:00+00:00,152.47,152.745,152.375,152.42,-1.0,-1.0,-1
2,2023-02-17 14:32:00+00:00,152.42,152.695,152.405,152.565,-1.0,-1.0,-1
3,2023-02-17 14:33:00+00:00,152.565,152.865,152.51,152.705,-1.0,-1.0,-1
4,2023-02-17 14:34:00+00:00,152.705,152.985,152.675,152.97,-1.0,-1.0,-1
5,2023-02-17 14:35:00+00:00,152.97,152.995,152.705,152.815,-1.0,-1.0,-1
6,2023-02-17 14:36:00+00:00,152.815,152.815,152.565,152.645,-1.0,-1.0,-1
7,2023-02-17 14:37:00+00:00,152.645,152.655,152.265,152.525,-1.0,-1.0,-1
8,2023-02-17 14:38:00+00:00,152.525,152.875,152.525,152.585,-1.0,-1.0,-1
9,2023-02-17 14:39:00+00:00,152.585,152.605,151.965,152.065,-1.0,-1.0,-1
10,2023-02-17 14:40:00+00:00,152.065,152.23,151.945,152.175,-1.0,-1.0,-1
11,2023-02-17 14:41:00+00:00,152.175,152.435,152.145,152.415,-1.0,-1.0,-1
12,2023-02-17 14:42:00+00:00,152.415,152.555,152.27,152.31,-1.0,-1.0,-1
13,2023-02-17 14:43:00+00:00,152.31,152.405,152.205,152.22,-1.0,-1.0,-1
14,2023-02-17 14:44:00+00:00,152.22,152.305,152.165,152.205,-1.0,-1.0,-1
15,2023-02-17 14:45:00+00:00,152.205,152.235,151.975,151.975,-1.0,-1.0,-1
16,2023-02-17 14:46:00+00:00,151.975,152.015,151.815,151.915,-1.0,-1.0,-1
17,2023-02-17 14:47:00+00:00,151.915,152.055,151.825,151.99,-1.0,-1.0,-1
18,2023-02-17 14:48:00+00:00,151.99,151.995,151.765,151.78,-1.0,-1.0,-1
19,2023-02-17 14:49:00+00:00,151.78,151.895,151.715,151.785,-1.0,-1.0,-1
20,2023-02-17 14:50:00+00:00,151.785,151.825,151.635,151.72,-1.0,-1.0,-1
21,2023-02-17 14:51:00+00:00,151.72,151.915,151.665,151.815,-1.0,-1.0,-1
22,2023-02-17 14:52:00+00:00,151.815,151.955,151.76,151.885,-1.0,-1.0,-1
23,2023-02-17 14:53:00+00:00,151.885,151.895,151.8,151.805,-1.0,-1.0,-1
24,2023-02-17 14:54:00+00:00,151.805,151.815,151.675,151.735,-1.0,-1.0,-1
25,2023-02-17 14:55:00+00:00,151.735,151.735,151.515,151.665,-1.0,-1.0,-1
26,2023-02-17 14:56:00+00:00,151.665,151.775,151.535,151.77,-1.0,-1.0,-1
27,2023-02-17 14:57:00+00:00,151.77,151.795,151.505,151.545,-1.0,-1.0,-1
28,2023-02-17 14:58:00+00:00,151.545,151.635,151.535,151.56,-1.0,-1.0,-1
29,2023-02-17 14:59:00+00:00,151.56,151.775,151.545,151.685,-1.0,-1.0,-1
30,2023-02-17 15:00:00+00:00,151.685,151.82,151.655,151.67,-1.0,-1.0,-1
31,2023-02-17 15:01:00+00:00,151.67,151.805,151.655,151.67,-1.0,-1.0,-1
32,2023-02-17 15:02:00+00:00,151.67,151.735,151.655,151.665,-1.0,-1.0,-1
33,2023-02-17 15:03:00+00:00,151.665,152.015,151.635,151.895,-1.0,-1.0,-1
34,2023-02-17 15:04:00+00:00,151.895,152.085,151.88,151.91,-1.0,-1.0,-1
35,2023-02-17 15:05:00+00:00,151.91,151.95,151.815,151.845,-1.0,-1.0,-1
36,2023-02-17 15:06:00+00:00,151.845,152.055,151.825,152.055,-1.0,-1.0,-1
37,2023-02-17 15:07:00+00:00,152.055,152.195,151.98,152.165,-1.0,-1.0,-1
38,2023-02-17 15:08:00+00:00,152.165,152.245,152.105,152.145,-1.0,-1.0,-1
39,2023-02-17 15:09:00+00:00,152.145,152.21,152.03,152.165,-1.0,-1.0,-1
40,2023-02-17 15:10:00+00:00,152.165,152.205,152.02,152.165,-1.0,-1.0,-1
41,2023-02-17 15:11:00+00:00,152.165,152.315,152.125,152.145,-1.0,-1.0,-1
42,2023-02-17 15:12:00+00:00,152.145,152.415,152.125,152.375,-1.0,-1.0,-1
43,2023-02-17 15:13:00+00:00,152.375,152.485,152.125,152.14,-1.0,-1.0,-1
44,2023-02-17 15:14:00+00:00,152.14,152.22,152.055,152.15,-1.0,-1.0,-1
45,2023-02-17 15:15:00+00:00,152.15,152.235,152.025,152.035,-1.0,-1.0,-1
46,2023-02-17 15:16:00+00:00,152.035,152.17,152.025,152.095,-1.0,-1.0,-1
47,2023-02-17 15:17:00+00:00,152.095,152.195,152.005,152.16,-1.0,-1.0,-1
